# step Epot T p V 
0 -4685.3502 0.0 6516.2526 23823.124 
5000 -5177.6452 299.0743 -212.2005 22812.8204 
10000 -5148.5354 291.1612 375.9939 23584.8514 
15000 -5144.5162 292.6434 -287.6586 23081.9131 
20000 -5171.5631 291.063 -296.7341 22929.3265 
25000 -5248.6734 294.0659 -498.2699 22749.2379 
30000 -5305.9391 286.3427 -700.5921 22817.2078 
35000 -5206.4504 298.6976 -125.633 22938.7944 
40000 -5239.3776 304.1607 -57.9011 22904.6194 
45000 -5151.6592 309.9625 68.148 23053.307 
50000 -5207.4179 303.5993 -278.014 22711.245 
55000 -5162.4049 305.6013 125.9273 22840.1058 
60000 -5232.4091 300.6235 249.9581 22483.2042 
65000 -5230.3734 289.1245 282.0538 22199.6946 
70000 -5178.2366 303.4157 -232.269 22765.4271 
75000 -5214.6302 303.8271 -764.2834 22530.2952 
80000 -5205.0949 309.9813 -841.8936 22791.9673 
85000 -5237.0515 297.1566 -995.6884 23083.3512 
90000 -5205.4743 304.6701 -92.3271 22700.2125 
95000 -5157.0334 284.8129 -557.3934 22427.5126 
100000 -5150.2011 299.6717 -793.0546 22763.3274 
105000 -5221.1581 291.91 -1051.8583 22728.8378 
110000 -5211.4941 300.0656 -806.0775 22782.1161 
115000 -5176.1486 297.7065 -1017.7485 22806.9243 
120000 -5224.224 283.7594 -492.2326 22732.0185 
125000 -5200.7466 297.2041 -499.6007 22973.6581 
130000 -5199.1785 278.6686 -625.0369 23070.6596 
135000 -5258.7752 299.8678 293.8552 22513.0233 
140000 -5247.0645 301.1678 -1345.8343 22624.7858 
145000 -5182.5402 297.7955 -549.7736 22978.7036 
150000 -5196.5192 295.4123 361.5967 22753.6516 
155000 -5279.1862 297.4363 -231.8703 22501.2867 
160000 -5236.8334 312.2191 -120.3031 22705.2626 
165000 -5190.9853 299.5449 -397.7125 23086.8329 
170000 -5201.0833 311.6676 -188.2231 22801.1664 
175000 -5176.1055 304.0902 -548.2202 22655.5857 
180000 -5164.236 303.5382 -570.0954 23039.2587 
185000 -5234.6603 290.7634 -602.1082 22884.1741 
190000 -5190.7748 296.8861 -594.449 22847.2029 
195000 -5211.1765 300.7805 67.6684 22587.1388 
200000 -5216.1184 295.3864 -652.1271 22498.7439 
205000 -5171.5478 305.9434 -738.1279 22694.5647 
210000 -5269.5116 282.0307 -775.4389 22726.7039 
215000 -5174.5279 314.5024 299.3665 22836.1939 
220000 -5266.4508 283.5054 -330.3287 22567.903 
225000 -5193.2124 288.7323 -335.9093 22451.7876 
230000 -5192.3389 299.99 96.9729 22556.2332 
235000 -5238.773 307.459 163.1815 22810.0429 
240000 -5253.8108 302.9563 -114.9287 22657.5243 
245000 -5212.4883 300.7996 -670.6227 22505.1184 
250000 -5167.0065 294.7541 -514.0605 22721.795 
255000 -5204.3822 297.8794 -426.8046 22815.5788 
260000 -5221.3672 317.3417 312.1598 22602.54 
265000 -5206.2808 300.394 -665.2957 22759.6012 
270000 -5199.1799 286.3333 567.5537 22550.9971 
275000 -5247.4763 290.3075 -125.5628 22549.8778 
280000 -5190.4215 295.8237 -487.2538 22978.6848 
285000 -5220.4313 291.8938 675.8707 22326.1719 
290000 -5234.9062 302.5796 -392.5851 22493.3911 
295000 -5248.5638 294.4265 -460.8794 22624.3387 
300000 -5245.8209 295.4452 48.343 22524.1741 
305000 -5241.8069 307.7603 494.4291 22586.0273 
310000 -5228.9398 296.3392 -623.84 22770.0572 
315000 -5168.3817 298.6295 -984.609 22759.9278 
320000 -5145.5667 311.2872 84.9833 22794.93 
325000 -5199.0799 297.4513 140.5731 22460.8136 
330000 -5214.0576 298.117 -889.1796 22758.3601 
335000 -5160.5736 310.5964 141.045 22694.6394 
340000 -5246.7525 279.6815 110.7188 22104.7932 
345000 -5180.3392 290.7617 -621.8663 22782.2027 
350000 -5165.8337 301.12 124.954 22674.4544 
355000 -5167.163 295.0443 388.3486 22376.5906 
360000 -5189.2282 302.1729 350.074 22567.3158 
365000 -5227.8009 292.5173 -322.884 22802.7791 
370000 -5245.4407 300.6856 607.1597 22545.6612 
375000 -5145.5469 295.7891 -333.9256 22628.6803 
380000 -5214.0431 297.3812 -963.6531 22421.6279 
385000 -5242.4743 291.5353 -185.4135 22733.8185 
390000 -5215.0261 297.8722 8.1683 22591.4169 
395000 -5277.2387 312.1694 -706.545 22636.2179 
400000 -5210.0806 302.81 -455.4183 22737.1921 
405000 -5214.5596 312.8574 1.0317 22887.8697 
410000 -5232.0676 293.8118 221.7351 22575.7205 
415000 -5190.1641 302.7356 37.8945 22736.2716 
420000 -5241.2095 295.0966 -31.9829 22562.3977 
425000 -5181.4045 306.7318 -603.2164 22696.4295 
430000 -5220.5566 289.0315 -2.6539 22738.4757 
435000 -5187.1858 304.3873 327.1481 22472.9846 
440000 -5231.1881 297.0774 978.3693 22317.3067 
445000 -5216.8094 297.9742 105.9015 22625.7989 
450000 -5227.5764 289.6976 -395.0377 22782.7027 
455000 -5225.1377 308.9929 -605.8473 22944.9488 
460000 -5169.1833 298.6701 -719.5221 22918.0872 
465000 -5280.8045 297.3463 61.3504 22559.3788 
470000 -5191.4527 294.0934 -791.3784 22712.8368 
475000 -5173.4268 300.8951 -688.0322 23056.1497 
480000 -5180.7552 300.7804 -189.5012 22685.2337 
485000 -5273.0188 304.7142 189.6765 22509.9695 
490000 -5210.9294 289.0094 -91.4934 22498.5541 
495000 -5181.5401 285.6733 806.3308 22717.5244 
500000 -5137.1127 291.3394 -547.767 22925.0439 
