ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6263       775.2761         0.0000         0.0000         0.0000          -4685.3502         0.0000     -4685.3502     -4684.5921         0.0000           6516.2526      6528.3302     23823.1240      6516.2526      6528.3302
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5597.2449       419.5997         0.0000         0.0000       941.3993          -4236.2458       299.0743     -5177.6452     -4234.2156       278.1528           -212.2005      -193.4198     22812.8204      -255.9547      -255.7920
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5674.6105       526.0751         0.0000         0.0000       916.4911          -4232.0443       291.1612     -5148.5354     -4229.4118       298.6545            375.9939       397.8181     23584.8514      -201.8736      -201.8325
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5574.1338       429.6176         0.0000         0.0000       921.1566          -4223.3596       292.6434     -5144.5162     -4221.7236       298.7396           -287.6586      -276.6205     23081.9131      -124.1158      -124.1659
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5574.9226       403.3596         0.0000         0.0000       916.1819          -4255.3811       291.0630     -5171.5631     -4253.2860       297.5032           -296.7341      -274.9667     22929.3265      -190.0495      -189.9567
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5636.8032       388.1299         0.0000         0.0000       925.6343          -4323.0391       294.0659     -5248.6734     -4320.9450       299.4317           -498.2699      -477.8524     22749.2379      -234.1805      -234.0965
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5699.4235       393.4844         0.0000         0.0000       901.3241          -4404.6150       286.3427     -5305.9391     -4401.3528       295.2149           -700.5921      -688.7130     22817.2078      -186.7444      -186.6891
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5649.8478       443.3974         0.0000         0.0000       940.2135          -4266.2369       298.6976     -5206.4504     -4264.9280       290.7723           -125.6330      -110.6329     22938.7944      -264.6985      -264.7226
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5650.4816       411.1040         0.0000         0.0000       957.4099          -4281.9677       304.1607     -5239.3776     -4279.0667       301.7696            -57.9011       -46.7824     22904.6194      -197.3339      -197.3173
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5560.9075       409.2483         0.0000         0.0000       975.6724          -4175.9868       309.9625     -5151.6592     -4173.9164       300.1693             68.1480        77.5737     23053.3070      -231.8734      -231.7190
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5618.4013       410.9834         0.0000         0.0000       955.6426          -4251.7753       303.5993     -5207.4179     -4249.3464       303.0671           -278.0140      -258.9608     22711.2450      -256.1967      -256.2801
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5583.1733       420.7684         0.0000         0.0000       961.9443          -4200.4606       305.6013     -5162.4049     -4198.4940       303.4108            125.9273       150.3266     22840.1058      -226.7782      -226.7925
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5674.9710       442.5618         0.0000         0.0000       946.2756          -4286.1335       300.6235     -5232.4091     -4283.8910       297.5189            249.9581       270.6652     22483.2042      -236.5240      -236.4913
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5637.9945       407.6211         0.0000         0.0000       910.0803          -4320.2931       289.1245     -5230.3734     -4318.1910       297.8859            282.0538       298.7218     22199.6946      -209.9224      -209.9929
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5574.2801       396.0435         0.0000         0.0000       955.0647          -4223.1719       303.4157     -5178.2366     -4220.4390       297.1054           -232.2690      -208.9089     22765.4271      -218.2195      -218.1439
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5567.6557       353.0254         0.0000         0.0000       956.3598          -4258.2704       303.8271     -5214.6302     -4257.0965       302.8057           -764.2834      -735.2021     22530.2952      -178.2059      -178.2372
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5557.0789       351.9841         0.0000         0.0000       975.7315          -4229.3634       309.9813     -5205.0949     -4226.6868       301.2850           -841.8936      -835.6548     22791.9673      -194.1554      -194.2455
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5617.0400       379.9885         0.0000         0.0000       935.3631          -4301.6884       297.1566     -5237.0515     -4298.8120       300.9147           -995.6884      -978.1569     23083.3512      -240.6193      -240.5290
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5591.7197       386.2455         0.0000         0.0000       959.0132          -4246.4611       304.6701     -5205.4743     -4244.1376       299.5536            -92.3271       -81.9949     22700.2125      -194.4007      -194.3710
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5502.8694       345.8360         0.0000         0.0000       896.5086          -4260.5247       284.8129     -5157.0334     -4259.4639       301.1696           -557.3934      -530.4024     22427.5126      -246.9844      -246.9430
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5468.3306       318.1295         0.0000         0.0000       943.2797          -4206.9214       299.6717     -5150.2011     -4204.4956       303.7188           -793.0546      -764.1433     22763.3274      -214.6640      -214.6209
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5549.5839       328.4258         0.0000         0.0000       918.8481          -4302.3099       291.9100     -5221.1581     -4298.9267       297.8201          -1051.8583     -1029.9785     22728.8378      -247.2759      -247.3039
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5567.6087       356.1146         0.0000         0.0000       944.5196          -4266.9745       300.0656     -5211.4941     -4263.9491       299.7028           -806.0775      -792.6904     22782.1161      -210.1760      -210.1559
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5514.4932       338.3446         0.0000         0.0000       937.0938          -4239.0548       297.7065     -5176.1486     -4236.5871       297.4517          -1017.7485      -997.8218     22806.9243      -259.6460      -259.5806
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5638.3485       414.1245         0.0000         0.0000       893.1924          -4331.0316       283.7594     -5224.2240     -4329.2167       295.8926           -492.2326      -462.4345     22732.0185      -262.7457      -262.7436
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5575.1724       374.4258         0.0000         0.0000       935.5124          -4265.2342       297.2041     -5200.7466     -4262.2682       295.5342           -499.6007      -483.5277     22973.6581      -240.0018      -240.0469
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5599.1034       399.9249         0.0000         0.0000       877.1682          -4322.0103       278.6686     -5199.1785     -4319.7775       298.8215           -625.0369      -599.5950     23070.6596      -239.4280      -239.3544
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5712.4243       453.6490         0.0000         0.0000       943.8971          -4314.8781       299.8678     -5258.7752     -4312.7314       295.3967            293.8552       306.7812     22513.0233      -277.4072      -277.4744
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5545.1385       298.0740         0.0000         0.0000       947.9889          -4299.0756       301.1678     -5247.0645     -4296.9309       292.5852          -1345.8343     -1337.1011     22624.7858      -154.4578      -154.3547
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5558.8494       376.3092         0.0000         0.0000       937.3741          -4245.1660       297.7955     -5182.5402     -4243.2011       300.7136           -549.7736      -529.1481     22978.7036      -189.0998      -189.0202
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5626.1318       429.6126         0.0000         0.0000       929.8724          -4266.6467       295.4123     -5196.5192     -4265.6255       301.1170            361.5967       396.1668     22753.6516      -104.9740      -104.9361
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5672.5445       393.3582         0.0000         0.0000       936.2434          -4342.9428       297.4363     -5279.1862     -4340.9988       295.0275           -231.8703      -219.5881     22501.2867      -177.3951      -177.3527
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5651.2885       414.4551         0.0000         0.0000       982.7753          -4254.0581       312.2191     -5236.8334     -4250.4994       297.2250           -120.3031      -109.1939     22705.2626      -194.5435      -194.4585
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5581.4315       390.4463         0.0000         0.0000       942.8807          -4248.1046       299.5449     -5190.9853     -4247.0857       302.3487           -397.7125      -365.7178     23086.8329      -234.1757      -234.2042
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5612.0969       411.0136         0.0000         0.0000       981.0395          -4220.0438       311.6676     -5201.0833     -4217.4368       302.2328           -188.2231      -182.5885     22801.1664      -237.9439      -237.8858
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5526.7457       350.6402         0.0000         0.0000       957.1879          -4218.9176       304.0902     -5176.1055     -4215.4930       302.0284           -548.2202      -541.5890     22655.5857      -257.9279      -257.9608
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5523.4084       359.1723         0.0000         0.0000       955.4505          -4208.7856       303.5382     -5164.2360     -4206.5162       306.7589           -570.0954      -546.1394     23039.2587      -229.1219      -229.0729
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5619.6772       385.0169         0.0000         0.0000       915.2389          -4319.4213       290.7634     -5234.6603     -4317.8823       299.4635           -602.1082      -582.5317     22884.1741      -275.5700      -275.6349
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5545.6687       354.8939         0.0000         0.0000       934.5114          -4256.2634       296.8861     -5190.7748     -4255.7134       299.5767           -594.4490      -571.6591     22847.2029      -291.5734      -291.4794
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5631.8093       420.6328         0.0000         0.0000       946.7700          -4264.4065       300.7805     -5211.1765     -4261.4026       298.4254             67.6684        87.3091     22587.1388      -236.5421      -236.5220
