# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 2
50 0 6
60 0 11
70 0 19
80 0 26
90 0 36
100 0 41
110 0 47
120 0 52
130 0 58
140 0 62
150 0 70
160 0 80
170 0 84
180 0 92
190 0 99
200 0 104
210 0 111
220 0 117
230 0 123
240 0 128
250 0 138
260 0 145
270 0 155
280 0 163
290 0 168
300 0 175
310 0 180
320 0 186
330 0 193
340 0 198
350 0 209
360 0 218
370 0 222
380 0 226
390 0 232
400 0 239
410 0 245
420 0 254
430 0 258
440 0 267
450 0 274
460 0 285
470 0 289
480 0 298
490 0 303
500 0 313
510 0 320
520 0 327
530 0 334
540 0 341
550 0 349
560 0 354
570 0 363
580 0 369
590 0 375
600 0 381
